"annotation_id","source","example_id","stratum","perturbation_point","strategy","final_label","labeled_by","judge_label","variant_agreement","variant_labels"
"1","gsm8k","gsm8k_129","GSM_split22","middle","operation_swap","A","rule","","split_2_2","original=A|reference_sensitive=B|strict_bypass=B|strict_correction=A"
"2","mmlu","mmlu_4731","MMLU_type_c","middle","confidence_injection","C","rule","","not_covered",""
"3","mmlu","mmlu_2390","MMLU_majority31","late","wrong_elimination","A","rule","","majority_3_1","original=B|reference_sensitive=B|strict_bypass=B|strict_correction=A"
"4","gsm8k","gsm8k_587","GSM_split22","late","operation_swap","A","judge","A","split_2_2","original=B|reference_sensitive=A|strict_bypass=B|strict_correction=A"
"5","bbh","bbh_1330","BBH_type_c","middle","wrong_elimination","C","rule","","not_covered",""
"6","bbh","bbh_2656","BBH_type_c","middle","false_analogy","C","rule","","not_covered",""
"7","mmlu","mmlu_4004","MMLU_split22","middle","wrong_elimination","A","rule","","split_2_2","original=A|reference_sensitive=B|strict_bypass=B|strict_correction=A"
"8","mmlu","mmlu_1072","RANDOM_baseline","middle","reversed_logic","A","rule","","majority_3_1","original=A|reference_sensitive=A|strict_bypass=B|strict_correction=A"
"9","bbh","bbh_1902","RANDOM_baseline","late","false_analogy","A","judge","A","split_2_2","original=A|reference_sensitive=B|strict_bypass=B|strict_correction=A"
"10","mmlu","mmlu_417","MMLU_split22","early","wrong_elimination","B","rule","","split_2_2","original=A|reference_sensitive=B|strict_bypass=B|strict_correction=A"
"11","mmlu","mmlu_1198","MMLU_type_c","early","wrong_elimination","C","rule","","not_covered",""
"12","bbh","bbh_5071","BBH_type_c","early","confidence_injection","C","rule","","not_covered",""
"13","bbh","bbh_2372","BBH_split22","early","confidence_injection","A","judge","A","split_2_2","original=A|reference_sensitive=B|strict_bypass=B|strict_correction=A"
"14","gsm8k","gsm8k_457","GSM_split22","late","operation_swap","A","judge","A","split_2_2","original=A|reference_sensitive=B|strict_bypass=B|strict_correction=A"
"15","gsm8k","gsm8k_630","GSM_majority31","early","operation_swap","A","judge","A","majority_3_1","original=A|reference_sensitive=A|strict_bypass=B|strict_correction=A"
"16","gsm8k","gsm8k_544","GSM_majority31","middle","operation_swap","A","judge","A","majority_3_1","original=A|reference_sensitive=A|strict_bypass=B|strict_correction=A"
"17","mmlu","mmlu_3560","MMLU_majority31","late","false_analogy","A","judge","A","majority_3_1","original=B|reference_sensitive=B|strict_bypass=B|strict_correction=A"
"18","bbh","bbh_298","BBH_type_c","early","reversed_logic","C","rule","","not_covered",""
"19","gsm8k","gsm8k_315","GSM_type_c","early","arithmetic_change","C","rule","","not_covered",""
"20","bbh","bbh_795","BBH_agree","early","reversed_logic","B","judge","B","agree","original=B|reference_sensitive=B|strict_bypass=B|strict_correction=B"
"21","mmlu","mmlu_1443","RANDOM_baseline","middle","confidence_injection","C","judge","C","not_covered",""
"22","bbh","bbh_762","BBH_agree","late","confidence_injection","B","judge","B","agree","original=B|reference_sensitive=B|strict_bypass=B|strict_correction=B"
"23","bbh","bbh_2178","BBH_split22","early","wrong_elimination","A","judge","A","split_2_2","original=A|reference_sensitive=B|strict_bypass=B|strict_correction=A"
"24","bbh","bbh_2735","RANDOM_baseline","early","wrong_elimination","B","judge","B","split_2_2","original=B|reference_sensitive=A|strict_bypass=B|strict_correction=A"
"25","gsm8k","gsm8k_172","GSM_split22","late","operation_swap","A","rule","","split_2_2","original=B|reference_sensitive=A|strict_bypass=B|strict_correction=A"
"26","bbh","bbh_242","BBH_split22","middle","wrong_elimination","A","judge","A","split_2_2","original=B|reference_sensitive=A|strict_bypass=B|strict_correction=A"
"27","gsm8k","gsm8k_866","GSM_type_c","early","operation_swap","C","rule","","not_covered",""
"28","mmlu","mmlu_844","RANDOM_baseline","middle","confidence_injection","B","judge","B","majority_3_1","original=B|reference_sensitive=B|strict_bypass=B|strict_correction=A"
"29","mmlu","mmlu_1430","MMLU_majority31","middle","premise_contradiction","A","rule","","majority_3_1","original=A|reference_sensitive=A|strict_bypass=B|strict_correction=A"
"30","gsm8k","gsm8k_261","GSM_majority31","late","operation_swap","A","judge","A","majority_3_1","original=A|reference_sensitive=A|strict_bypass=B|strict_correction=A"
"31","gsm8k","gsm8k_67","GSM_split22","middle","operation_swap","A","judge","A","split_2_2","original=A|reference_sensitive=B|strict_bypass=B|strict_correction=A"
"32","gsm8k","gsm8k_53","GSM_agree","early","operation_swap","A","judge","A","agree","original=A|reference_sensitive=A|strict_bypass=A|strict_correction=A"
"33","bbh","bbh_5122","BBH_majority31","early","premise_contradiction","A","judge","A","majority_3_1","original=A|reference_sensitive=A|strict_bypass=B|strict_correction=A"
"34","bbh","bbh_2762","BBH_split22","early","confidence_injection","B","judge","B","split_2_2","original=A|reference_sensitive=B|strict_bypass=B|strict_correction=A"
"35","bbh","bbh_3295","RANDOM_baseline","early","reversed_logic","C","rule","","not_covered",""
"36","gsm8k","gsm8k_846","GSM_majority31","early","operation_swap","A","judge","A","majority_3_1","original=A|reference_sensitive=A|strict_bypass=B|strict_correction=A"
"37","mmlu","mmlu_4004","MMLU_type_c","late","confidence_injection","C","rule","","not_covered",""
"38","mmlu","mmlu_241","MMLU_majority31","late","premise_contradiction","B","rule","","majority_3_1","original=B|reference_sensitive=B|strict_bypass=B|strict_correction=A"
"39","gsm8k","gsm8k_269","GSM_type_c","late","arithmetic_change","C","rule","","not_covered",""
"40","gsm8k","gsm8k_373","GSM_majority31","middle","operation_swap","A","judge","A","majority_3_1","original=B|reference_sensitive=B|strict_bypass=B|strict_correction=A"
"41","gsm8k","gsm8k_574","GSM_split22","middle","arithmetic_change","A","rule","","split_2_2","original=A|reference_sensitive=B|strict_bypass=B|strict_correction=A"
"42","gsm8k","gsm8k_91","GSM_split22","late","operation_swap","A","judge","A","split_2_2","original=A|reference_sensitive=B|strict_bypass=B|strict_correction=A"
"43","mmlu","mmlu_766","MMLU_type_c","early","false_analogy","C","rule","","not_covered",""
"44","mmlu","mmlu_533","MMLU_agree","early","confidence_injection","A","rule","","agree","original=A|reference_sensitive=A|strict_bypass=A|strict_correction=A"
"45","gsm8k","gsm8k_38","GSM_split22","middle","operation_swap","A","rule","","split_2_2","original=A|reference_sensitive=B|strict_bypass=B|strict_correction=A"
"46","gsm8k","gsm8k_211","GSM_type_c","early","arithmetic_change","C","rule","","not_covered",""
"47","mmlu","mmlu_4515","MMLU_type_c","middle","false_analogy","C","rule","","not_covered",""
