"annotation_id","source","example_id","stratum","perturbation_point","strategy","auto_label","judge_label"
"1","gsm8k","gsm8k_76","GSM_judge_to_b","middle","operation_swap","TYPE_B","B"
"2","mmlu","mmlu_2561","MMLU_judge_to_a","middle","false_analogy","TYPE_A","A"
"3","bbh","bbh_3510","BBH_type_a","late","confidence_injection","TYPE_A","A"
"4","gsm8k","gsm8k_116","GSM_judge_to_a","early","operation_swap","TYPE_A","A"
"5","bbh","bbh_4413","BBH_type_c","middle","reversed_logic","TYPE_C",""
"6","bbh","bbh_5086","BBH_type_c","middle","confidence_injection","TYPE_C",""
"7","bbh","bbh_2845","BBH_type_c","early","wrong_elimination","TYPE_C",""
"8","bbh","bbh_5015","RANDOM_baseline","early","reversed_logic","TYPE_C",""
"9","gsm8k","gsm8k_649","GSM_judge_to_a","late","operation_swap","TYPE_A","A"
"10","gsm8k","gsm8k_177","GSM_type_c","early","arithmetic_change","TYPE_C",""
"11","gsm8k","gsm8k_875","RANDOM_baseline","early","operation_swap","TYPE_A","A"
"12","bbh","bbh_2376","BBH_type_c","early","wrong_elimination","TYPE_C",""
"13","gsm8k","gsm8k_734","GSM_judge_to_b","late","operation_swap","TYPE_B","B"
"14","bbh","bbh_1449","BBH_type_c","middle","reversed_logic","TYPE_C",""
"15","gsm8k","gsm8k_816","GSM_judge_to_a","middle","operation_swap","TYPE_A","A"
"16","bbh","bbh_2337","BBH_type_c","late","false_analogy","TYPE_C",""
"17","mmlu","mmlu_4088","MMLU_judge_to_a","late","confidence_injection","TYPE_A","A"
"18","bbh","bbh_3807","RANDOM_baseline","middle","false_analogy","TYPE_C",""
"19","bbh","bbh_3284","BBH_type_a","middle","false_analogy","TYPE_A","A"
"20","gsm8k","gsm8k_18","GSM_type_c","early","arithmetic_change","TYPE_C",""
"21","mmlu","mmlu_2012","MMLU_judge_to_a","early","wrong_elimination","TYPE_A","A"
"22","mmlu","mmlu_4930","MMLU_judge_to_b","late","wrong_elimination","TYPE_B","B"
"23","gsm8k","gsm8k_850","GSM_judge_to_a","late","arithmetic_change","TYPE_A","A"
"24","mmlu","mmlu_533","MMLU_judge_to_a","middle","confidence_injection","TYPE_A","A"
"25","bbh","bbh_2302","RANDOM_baseline","late","reversed_logic","TYPE_C","C"
"26","bbh","bbh_2015","BBH_type_c","middle","reversed_logic","TYPE_C",""
"27","bbh","bbh_1943","BBH_type_c","early","false_analogy","TYPE_C",""
"28","gsm8k","gsm8k_865","GSM_judge_to_a","middle","operation_swap","TYPE_A","A"
"29","mmlu","mmlu_93","MMLU_judge_to_a","middle","wrong_elimination","TYPE_A","A"
"30","mmlu","mmlu_1810","MMLU_judge_to_a","late","false_analogy","TYPE_A","A"
"31","gsm8k","gsm8k_88","GSM_judge_to_a","early","operation_swap","TYPE_A","A"
"32","mmlu","mmlu_3463","RANDOM_baseline","middle","confidence_injection","TYPE_A",""
